Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1101,台泥,11409182.0,378718520.0,33.55,33.6,33.0,33.15,-0.4,8455.0
1102,亞泥,4530016.0,191961650.0,42.45,42.6,42.25,42.3,-0.2,2257.0
1103,嘉泥,75432.0,1352066.0,17.95,18.0,17.8,18.0,0.05,117.0
1104,環泥,157694.0,4619353.0,29.4,29.45,29.15,29.2,-0.1,204.0
1108,幸福,297748.0,4346815.0,14.6,14.65,14.55,14.6,0.0,117.0
1109,信大,95428.0,1763793.0,18.45,18.5,18.45,18.5,0.05,71.0
1110,東泥,226321.0,4817121.0,21.1,21.5,20.95,21.35,0.3,140.0
1201,味全,810701.0,14610777.0,18.1,18.2,17.9,17.95,-0.35,521.0
1203,味王,73871.0,3051522.0,41.3,41.35,41.3,41.3,-0.05,79.0
1210,大成,748420.0,39887616.0,53.7,53.7,53.1,53.1,-0.6,1107.0
1215,卜蜂,178688.0,17924437.0,100.0,100.5,99.7,100.5,0.0,659.0
1216,統一,4892137.0,414843134.0,84.6,85.1,84.1,85.0,0.4,2574.0
1218,泰山,550723.0,11513039.0,21.0,21.05,20.8,20.9,-0.1,376.0
1225,福懋油,331854.0,23158326.0,76.7,76.7,69.1,69.1,-7.6,840.0
1227,佳格,220376.0,8307576.0,37.65,37.8,37.65,37.65,0.0,239.0
1229,聯華,868472.0,50047280.0,58.0,58.1,57.4,57.4,-0.5,1572.0
1231,聯華食,143963.0,18600152.0,130.0,130.0,128.0,130.0,1.5,759.0
1232,大統益,8497.0,1238344.0,145.5,146.0,145.5,146.0,1.0,50.0
1234,黑松,182970.0,7565217.0,41.4,41.4,41.25,41.3,-0.3,148.0
1235,興泰,13673.0,1548152.0,113.5,117.0,111.0,111.0,-5.5,2842.0
1256,鮮活果汁-KY,198830.0,28860106.0,146.0,149.5,140.5,140.5,4.5,322.0
1301,台塑,21351215.0,876050107.0,40.75,41.9,40.4,40.7,0.5,10290.0
1303,南亞,15908723.0,588802821.0,37.0,38.2,36.45,36.7,-0.2,9213.0
1304,台聚,1750500.0,21641081.0,12.25,12.6,12.2,12.25,0.0,1057.0
1305,華夏,706336.0,9707763.0,13.6,14.0,13.55,13.6,0.1,528.0
1307,三芳,1600261.0,63189082.0,38.85,40.4,38.85,39.2,0.45,983.0
1308,亞聚,622545.0,9855358.0,15.65,16.1,15.6,15.7,0.1,574.0
1309,台達化,1228191.0,20034861.0,16.2,16.7,16.05,16.1,-0.1,788.0
1310,台苯,736436.0,8062046.0,10.95,11.2,10.8,10.8,-0.15,755.0
1312,國喬,2786349.0,31278931.0,11.1,11.45,11.1,11.15,-0.05,881.0
1313,聯成,1496675.0,15831014.0,10.55,10.8,10.45,10.5,0.05,809.0
